id,batch,category,status,attempts,model,input_tokens,output_tokens,cost_usd,cost_all_attempts_usd,duration_s,html_lines,meshes,groups,animated,controls_ui,shadows,geometries,file,prompt
001_armchair,batch_01,furniture,ok,1,default,18212,15273,0.36926,0.36926,133.5,437,6,11,y,n,y,Box Circle Cylinder Sphere,batches/batch_01/outputs/001_armchair.html,"A mid-century modern armchair: walnut wooden frame with tapered legs, a mustard-yellow fabric seat cushion and backrest with subtle button tufting, slightly reclined back."
002_desk_lamp,batch_01,product,ok,1,default,18225,18128,0.42647,0.42647,158.5,488,1,19,y,y,y,Box Cylinder Lathe Plane Torus Tube,batches/batch_01/outputs/002_desk_lamp.html,"An articulated desk lamp with a weighted round base, two arm segments connected by visible hinge joints and springs, and a conical shade with a warm point light inside that actually illuminates the scene. Add a slider to rotate the arm joints."
003_espresso_machine,batch_01,product,not_run,0,,0,0,0.0,0,0.0,0,,,,,,,,"A compact home espresso machine: brushed stainless steel body, a portafilter with a black handle, a steam wand, two round pressure gauges on the front, and a drip tray with a grid pattern."
004_vintage_car,batch_01,vehicle,not_run,0,,0,0,0.0,0,0.0,0,,,,,,,,"A stylized 1960s compact car in pastel teal: rounded body, chrome bumpers, round headlights, whitewall tires, and wheels that spin. Toggle button to open/close the doors."
005_lighthouse,batch_01,architecture,not_run,0,,0,0,0.0,0,0.0,0,,,,,,,,"A red-and-white striped lighthouse on a rocky outcrop, with a lantern room at the top whose light beam slowly rotates. Include a small keeper's cottage and low-poly ocean waves animated around the base."
006_bonsai,batch_01,nature,not_run,0,,0,0,0.0,0,0.0,0,,,,,,,,"A bonsai tree in a shallow rectangular ceramic pot: twisted trunk made from curved tube geometry, clustered foliage pads in varied greens, visible soil with a few small stones and moss."
007_robot_arm,batch_01,mechanical,not_run,0,,0,0,0.0,0,0.0,0,,,,,,,,"A 6-axis industrial robot arm on a round base, painted orange with dark grey joints, ending in a two-finger gripper. Animate it picking up a small cube and placing it on the other side, looping."
008_ramen_bowl,batch_01,food,not_run,0,,0,0,0.0,0,0.0,0,,,,,,,,"A bowl of ramen: dark ceramic bowl, broth surface, a swirl of noodles, a halved soft-boiled egg with orange yolk, two slices of chashu pork, nori sheet, sliced green onions, and chopsticks resting on the rim."
009_office_corridor,batch_01,indoor_scene,not_run,0,,0,0,0.0,0,0.0,0,,,,,,,,"A short indoor office corridor about 12 m long: doors on both sides with room-number plates, a fire extinguisher on the wall, a water fountain, ceiling light panels, and an exit sign at the end. Camera starts at one end looking down the corridor at human eye height (1.6 m)."
010_original_mascot,batch_01,character,not_run,0,,0,0,0.0,0,0.0,0,,,,,,,,"An original cute mascot character (not based on any existing IP): a small round cloud-shaped creature with stubby arms and legs, big dot eyes, rosy cheeks, and a tiny umbrella. Gentle idle bobbing animation."
011_bookshelf,batch_02,furniture,not_run,0,,0,0,0.0,0,0.0,0,,,,,,,,"A tall five-tier oak bookshelf filled with books of varied heights, thicknesses and spine colors, some leaning, one small stack lying flat, plus a potted succulent and a small framed photo (plain color, no image) on the shelves."
012_headphones,batch_02,product,not_run,0,,0,0,0.0,0,0.0,0,,,,,,,,"Over-ear wireless headphones in matte black with rose-gold accents: padded headband, extendable sliders, oval ear cups with soft leatherette cushions, a small LED and power button on the right cup. Slowly turntable-rotate the model."
013_bicycle,batch_02,vehicle,not_run,0,,0,0,0.0,0,0.0,0,,,,,,,,"A city bicycle with a diamond frame in forest green, spoked wheels, a front basket, fenders, a brown saddle and handlebar grips, and a chain drive. Animate the pedals and wheels turning in sync; add a play/pause button."
014_torii_gate,batch_02,architecture,not_run,0,,0,0,0.0,0,0.0,0,,,,,,,,"A vermilion Japanese torii gate standing on a gravel path, flanked by two stone lanterns with a warm glow inside, a few stepping stones, and small maple trees with red leaves. Soft dusk lighting."
015_monstera,batch_02,nature,not_run,0,,0,0,0.0,0,0.0,0,,,,,,,,"A potted monstera plant: a terracotta pot with soil, several long stems, and large glossy split leaves with characteristic holes (fenestrations), leaves oriented in different directions. Leaves sway very gently."
016_wall_clock_gears,batch_02,mechanical,not_run,0,,0,0,0.0,0,0.0,0,,,,,,,,"A skeleton wall clock with visible interlocking brass gears of different sizes behind a transparent face, roman numerals on a ring, hour/minute/second hands showing the real current time, and gears rotating at correct relative speeds."
017_birthday_cake,batch_02,food,not_run,0,,0,0,0.0,0,0.0,0,,,,,,,,"A three-layer round birthday cake on a white cake stand: pastel pink frosting with piped rosettes on top, sprinkles, a drip of chocolate glaze down the sides, and five lit candles with flickering flame lights."
018_grocery_aisle,batch_02,indoor_scene,not_run,0,,0,0,0.0,0,0.0,0,,,,,,,,"A grocery store aisle about 8 m long: metal shelving units on both sides with four shelves each, densely stocked with generic unbranded products (cereal-like boxes, bottles, cans, jars) in varied colors and sizes, price-tag strips on shelf edges, overhead fluorescent lights, and a shopping cart in the aisle. Camera at 1.6 m eye height looking down the aisle."
019_explorer_robot,batch_02,character,not_run,0,,0,0,0.0,0,0.0,0,,,,,,,,"An original small explorer robot (not based on any existing IP): boxy body on two tank treads, a single round camera-eye on a neck that tilts, a small antenna with a blinking light, and one arm holding a flashlight casting a spotlight. Idle animation: looks around."
020_chess_set,batch_02,product,not_run,0,,0,0,0.0,0,0.0,0,,,,,,,,"A wooden chess board with a checkered maple/walnut pattern and a full set of 32 pieces (pawns, rooks, knights, bishops, queens, kings) built procedurally with lathe geometry, arranged in the starting position. Knights may be stylized."
021_office_chair,batch_03,furniture,not_run,0,,0,0,0.0,0,0.0,0,,,,,,,,"An ergonomic office chair: five-star aluminum base with caster wheels, a gas-lift cylinder, black mesh backrest with a curved lumbar support, padded seat, and adjustable armrests. Add a slider to change seat height and let the seat swivel when dragged."
022_film_camera,batch_03,product,not_run,0,,0,0,0.0,0,0.0,0,,,,,,,,"A vintage 35mm rangefinder film camera: silver top plate and black leatherette body, a lens barrel with knurled focus and aperture rings, film advance lever, shutter-speed dial, rewind crank, and a small viewfinder window. Include a neck strap loop on each side."
023_game_controller,batch_03,product,not_run,0,,0,0,0.0,0,0.0,0,,,,,,,,"A generic unbranded wireless game controller in white with grey accents: two analog sticks, a D-pad, four face buttons with simple shapes (no brand symbols), shoulder bumpers and triggers, ergonomic grips. Buttons visibly press when clicked."
024_sailboat,batch_03,vehicle,not_run,0,,0,0,0.0,0,0.0,0,,,,,,,,"A small wooden sailboat with a white hull and teak deck, a single mast with a mainsail and jib made from curved cloth-like geometry, rigging lines, a tiller, and a tiny cabin. The boat gently rocks on animated low-poly water."
025_windmill,batch_03,architecture,not_run,0,,0,0,0.0,0,0.0,0,,,,,,,,"A Dutch-style windmill: octagonal tapered tower with wooden cladding, a thatched cap, four lattice sails that rotate slowly, a wraparound balcony, and a small door and windows. Place it on a grassy mound with a few tulip rows in front."
026_cactus_terrarium,batch_03,nature,not_run,0,,0,0,0.0,0,0.0,0,,,,,,,,"A glass geometric terrarium (hexagonal prism with a pointed roof, thin brass frame) containing sand layers, pebbles, a tall saguaro-style cactus, a round barrel cactus, and a small flowering succulent. Use transmissive physical material for the glass."
027_steam_engine,batch_03,mechanical,not_run,0,,0,0,0.0,0,0.0,0,,,,,,,,"A tabletop model steam engine: brass boiler on a burner base, a horizontal piston cylinder connected by a connecting rod to a crank and a large flywheel, a centrifugal governor with spinning balls, and a small smokestack emitting simple puffs. All linkages animate correctly together."
028_sushi_platter,batch_03,food,not_run,0,,0,0,0.0,0,0.0,0,,,,,,,,"A rectangular wooden sushi board with an assortment: salmon and tuna nigiri, maki rolls in cross-section showing rice, nori and filling, a small mound of wasabi, pickled ginger slices, a soy sauce dish, and a pair of chopsticks on a rest."
029_hospital_lobby,batch_03,indoor_scene,not_run,0,,0,0,0.0,0,0.0,0,,,,,,,,"A small hospital or clinic lobby about 10 m x 8 m: reception desk with a monitor, rows of waiting chairs, a wall-mounted directional sign with arrows and simple text labels, a potted plant, an elevator door on one side, and glass entrance doors. Camera at 1.6 m eye height from the entrance."
030_original_dragon,batch_03,character,not_run,0,,0,0,0.0,0,0.0,0,,,,,,,,"An original small friendly dragon character (not based on any existing IP): chubby teal body, tiny wings that flap, short horns, a round belly with lighter scales, and a curled tail. It sits on a rock and occasionally puffs a small cloud of smoke."
031_bunk_bed,batch_04,furniture,not_run,0,,0,0,0.0,0,0.0,0,,,,,,,,"A wooden bunk bed painted white: two mattresses with rumpled blankets and pillows, a side ladder with rounded rungs, safety rail on the top bunk, and a small storage drawer underneath. A toggle button switches between bunk and separated twin-bed configuration with a smooth animation."
032_electric_kettle,batch_04,product,not_run,0,,0,0,0.0,0,0.0,0,,,,,,,,"A modern electric kettle: matte cream stainless-steel body with a slight taper, a black handle, a spout, a hinged lid that opens on click, and a round power base with a small blue LED ring. Steam particles rise from the spout when the kettle is 'on' (toggle button)."
033_smartwatch,batch_04,product,not_run,0,,0,0,0.0,0,0.0,0,,,,,,,,"A generic unbranded smartwatch: rounded-square aluminum case, a glass screen showing an emissive watch face with live digital time and a step-count ring, a side crown, and a silicone strap with a buckle, curved as if lying on a table."
034_forklift,batch_04,vehicle,not_run,0,,0,0,0.0,0,0.0,0,,,,,,,,"A warehouse forklift in yellow and black: counterweight at the back, overhead guard cage, seat and steering wheel, a vertical mast with two forks, and solid tires. Animate the forks lifting a wooden pallet with stacked cardboard boxes up and down in a loop."
035_greenhouse,batch_04,architecture,not_run,0,,0,0,0.0,0,0.0,0,,,,,,,,"A small Victorian-style greenhouse: white-painted frame with a pitched glass roof, glass panes using transmissive material, a hinged door, raised planting beds inside with rows of seedlings, and a few clay pots and a watering can by the entrance."
036_coral_reef,batch_04,nature,not_run,0,,0,0,0.0,0,0.0,0,,,,,,,,"A small coral reef patch on a sandy seabed: branching corals, brain coral, fan coral, sea anemones with swaying tentacles, and a few small stylized fish swimming in loops. Blue underwater fog and animated caustic-like light flicker."
037_typewriter,batch_04,mechanical,not_run,0,,0,0,0.0,0,0.0,0,,,,,,,,"A vintage mechanical typewriter in dark green: rows of round keys on angled levers, a carriage with a roller and a sheet of paper, a carriage return lever, and a semicircle of typebars. When the user presses a keyboard key, a matching typebar swings up and the carriage advances."
038_pancake_stack,batch_04,food,not_run,0,,0,0,0.0,0,0.0,0,,,,,,,,"A breakfast plate with a stack of five fluffy pancakes, a melting pat of butter on top, maple syrup dripping down the sides, fresh blueberries and strawberry halves, a fork and knife beside the plate, and a small glass of orange juice."
039_subway_platform,batch_04,indoor_scene,not_run,0,,0,0,0.0,0,0.0,0,,,,,,,,"An underground subway station platform about 30 m long: tiled walls, a platform edge with a yellow tactile warning strip, support columns, benches, overhead hanging signs with arrows and simple generic text, a stairway exit, and the empty track below. Camera at 1.6 m eye height standing on the platform."
040_original_owl,batch_04,character,not_run,0,,0,0,0.0,0,0.0,0,,,,,,,,"An original scholarly owl character (not based on any existing IP): round brown-and-cream feathered body, large eyes with round glasses, tiny tufted ears, holding an open book, perched on a stack of books. It blinks occasionally and turns its head side to side."
041_rocking_chair,batch_05,furniture,not_run,0,,0,0,0.0,0,0.0,0,,,,,,,,"A classic wooden rocking chair with curved rockers, spindle backrest, a woven rush seat, and a folded plaid blanket draped over one arm. The chair gently rocks back and forth; add a button to start/stop rocking."
