id,batch,category,backend,model,status,input_tokens,output_tokens,cache_creation_tokens,cache_read_tokens,cost_usd,duration_s,html_bytes,html_lines,timestamp
072_stand_mixer,batch_08,product,claude,default,error: [Errno 2] No such file or directory: 'claude',,,,,,,,,2026-09-23 16:57:18
073_tube_radio,batch_08,product,claude,default,error: [Errno 2] No such file or directory: 'claude',,,,,,,,,2026-09-23 16:57:18
071_velvet_sofa,batch_08,furniture,claude,default,error: [Errno 2] No such file or directory: 'claude',,,,,,,,,2026-09-23 16:57:18
074_hot_air_balloon,batch_08,vehicle,claude,default,error: [Errno 2] No such file or directory: 'claude',,,,,,,,,2026-09-23 16:57:18
075_garden_gazebo,batch_08,architecture,claude,default,error: [Errno 2] No such file or directory: 'claude',,,,,,,,,2026-09-23 16:57:18
076_bamboo_grove,batch_08,nature,claude,default,error: [Errno 2] No such file or directory: 'claude',,,,,,,,,2026-09-23 16:57:18
077_wind_turbine,batch_08,mechanical,claude,default,error: [Errno 2] No such file or directory: 'claude',,,,,,,,,2026-09-23 16:57:18
078_dumplings_steamer,batch_08,food,claude,default,error: [Errno 2] No such file or directory: 'claude',,,,,,,,,2026-09-23 16:57:18
079_museum_gallery,batch_08,indoor_scene,claude,default,error: [Errno 2] No such file or directory: 'claude',,,,,,,,,2026-09-23 16:57:18
080_original_hedgehog_gardener,batch_08,character,claude,default,error: [Errno 2] No such file or directory: 'claude',,,,,,,,,2026-09-23 16:57:18
071_velvet_sofa,batch_08,furniture,claude,default,ok,2,12084,6098,8257,0.2921234,106.9,11466,329,2026-09-23 17:04:09
